"filename", "language", "Markdown", "JavaScript", "CSS", "XML", "SCSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\.prettierrc", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 8, 18
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\package-lock.json", "JSON", 0, 0, 0, 0, 0, 19179, 0, 0, 1, 19180
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\package.json", "JSON", 0, 0, 0, 0, 0, 77, 0, 0, 1, 78
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 0, 1, 22
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\App.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 14, 5, 42
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\App.scss", "SCSS", 0, 0, 0, 0, 32, 0, 0, 0, 6, 38
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardContact\index.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 7, 7, 99
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardContact\index.scss", "SCSS", 0, 0, 0, 0, 121, 0, 0, 0, 24, 145
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardFAQ\index.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 6, 5, 90
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardFAQ\index.scss", "SCSS", 0, 0, 0, 0, 78, 0, 0, 7, 15, 100
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardLayout\index.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 8, 10, 55
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardLayout\index.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 3, 3, 23
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardStatistic\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 67, 6, 73
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardStatistic\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 236, 38, 274
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\index.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 7, 4, 32
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\sideBarComp\index.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 7, 5, 43
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\sideBarComp\index.scss", "SCSS", 0, 0, 0, 0, 67, 0, 0, 10, 11, 88
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Footer\index.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 3, 49
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Footer\index.scss", "SCSS", 0, 0, 0, 0, 117, 0, 0, 0, 23, 140
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Home\HomeCard\index.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 2, 9, 121
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Home\HomeCard\index.scss", "SCSS", 0, 0, 0, 0, 246, 0, 0, 20, 58, 324
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Home\index.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 6, 11, 63
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Home\index.scss", "SCSS", 0, 0, 0, 0, 223, 0, 0, 25, 42, 290
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Layout\index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 6, 5, 30
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Layout\index.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 2, 2, 13
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\MenubarLanding\index.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 2, 5, 76
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\MenubarLanding\index.scss", "SCSS", 0, 0, 0, 0, 24, 0, 0, 4, 8, 36
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\context\AuthContext.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 15, 21, 158
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\index.css", "CSS", 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 12, 3, 34
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\webpack.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 10, 739, 17, 1, 934, 19287, 21, 470, 351, 21830
