"filename", "language", "JSON", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\package-lock.json", "JSON", 45, 0, 0, 0, 0, 45
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\package.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\App.js", "JavaScript", 0, 0, 4, 0, 0, 4
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardContact\index.js", "JavaScript", 0, 0, 69, 0, 8, 77
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardContact\index.scss", "SCSS", 0, 17, 0, 0, 9, 26
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardLayout\index.js", "JavaScript", 0, 0, -18, -1, -5, -24
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardStatistic\index.js", "JavaScript", 0, 0, 0, -67, -6, -73
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardStatistic\index.scss", "SCSS", 0, 0, 0, -236, -38, -274
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\sideBarComp\index.js", "JavaScript", 0, 0, 0, -1, 0, -1
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Footer\index.js", "JavaScript", 0, 0, 12, 0, 2, 14
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Footer\index.scss", "SCSS", 0, -1, 0, 0, 2, 1
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Home\HomeCard\index.js", "JavaScript", 0, 0, 30, 0, 5, 35
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Home\HomeCard\index.scss", "SCSS", 0, 1, 0, 0, -1, 0
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Home\index.js", "JavaScript", 0, 0, 21, 1, 1, 23
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Layout\index.js", "JavaScript", 0, 0, 1, 0, 1, 2
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\MenubarLanding\index.js", "JavaScript", 0, 0, 9, -1, 3, 11
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Program\index.js", "JavaScript", 0, 0, 91, 0, 6, 97
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Program\index.scss", "SCSS", 0, 63, 0, 0, 14, 77
"Total", "-", 46, 80, 219, -305, 1, 41
