"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "XML", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\.prettierrc", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 8, 18
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\emailTemplate.html", "HTML", 0, 0, 0, 0, 0, 0, 99, 0, 6, 105
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\package-lock.json", "JSON", 19210, 0, 0, 0, 0, 0, 0, 0, 1, 19211
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\package.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 0, 1, 80
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 0, 1, 22
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\App.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 14, 5, 50
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\App.scss", "SCSS", 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardContact\index.js", "JavaScript", 0, 0, 213, 0, 0, 0, 0, 7, 16, 236
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardContact\index.scss", "SCSS", 0, 0, 0, 0, 0, 220, 0, 1, 52, 273
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardFAQ\index.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 6, 5, 90
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardFAQ\index.scss", "SCSS", 0, 0, 0, 0, 0, 78, 0, 7, 15, 100
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardLayout\index.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 7, 5, 31
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardLayout\index.scss", "SCSS", 0, 0, 0, 0, 0, 17, 0, 3, 3, 23
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardObjective\index.js", "JavaScript", 0, 0, 133, 0, 0, 0, 0, 0, 12, 145
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\DashBoardObjective\index.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\index.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\sideBarComp\index.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 6, 6, 43
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\ContactDashBoard\sideBarComp\index.scss", "SCSS", 0, 0, 0, 0, 0, 67, 0, 10, 11, 88
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Contact\index.js", "JavaScript", 0, 0, 143, 0, 0, 0, 0, 0, 10, 153
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Contact\index.scss", "SCSS", 0, 0, 0, 0, 0, 58, 0, 0, 14, 72
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Footer\index.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 5, 62
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Footer\index.scss", "SCSS", 0, 0, 0, 0, 0, 116, 0, 0, 25, 141
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Home\HomeCard\index.js", "JavaScript", 0, 0, 140, 0, 0, 0, 0, 2, 14, 156
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Home\HomeCard\index.scss", "SCSS", 0, 0, 0, 0, 0, 257, 0, 20, 58, 335
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Home\index.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 7, 12, 86
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Home\index.scss", "SCSS", 0, 0, 0, 0, 0, 223, 0, 25, 42, 290
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Layout\index.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 6, 6, 32
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Layout\index.scss", "SCSS", 0, 0, 0, 0, 0, 9, 0, 2, 2, 13
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\MenubarLanding\index.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 1, 8, 87
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\MenubarLanding\index.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 4, 8, 36
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Program\index.js", "JavaScript", 0, 0, 102, 0, 0, 0, 0, 0, 8, 110
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Program\index.scss", "SCSS", 0, 0, 0, 0, 0, 63, 0, 0, 14, 77
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Reports\index.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 2, 12, 70
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\components\Reports\index.scss", "SCSS", 0, 0, 0, 0, 0, 50, 0, 0, 8, 58
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\context\AuthContext.js", "JavaScript", 0, 0, 122, 0, 0, 0, 0, 15, 21, 158
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\index.css", "CSS", 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\index.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 12, 3, 34
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\khang\Desktop\SchooolFiles\extracurricular\2024-2025\United Planet\Primed\Waima\waimaFundacion\webpack.config.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 19320, 10, 1361, 17, 1, 1220, 120, 161, 438, 22648
